Alter;Geburtsjahr;männlich;weiblich;Gesamt
105;1915;2;0;2
103;1917;1;0;1
102;1918;0;1;1
101;1919;2;7;9
100;1920;1;10;11
99;1921;4;5;9
98;1922;6;16;22
97;1923;4;29;33
96;1924;10;38;48
95;1925;28;57;85
94;1926;21;62;83
93;1927;46;92;138
92;1928;41;110;151
91;1929;49;132;181
90;1930;67;127;194
89;1931;86;159;245
88;1932;81;196;277
87;1933;89;187;276
86;1934;165;262;427
85;1935;206;285;491
84;1936;225;325;550
83;1937;259;401;660
82;1938;320;404;724
81;1939;330;447;777
80;1940;324;460;784
79;1941;357;424;781
78;1942;279;368;647
77;1943;313;392;705
76;1944;331;403;734
75;1945;214;272;486
74;1946;304;361;665
73;1947;317;364;681
72;1948;358;411;769
71;1949;435;442;877
70;1950;444;469;913
69;1951;398;522;920
68;1952;441;497;938
67;1953;488;516;1004
66;1954;483;514;997
65;1955;470;568;1038
64;1956;502;561;1063
63;1957;559;601;1160
62;1958;558;564;1122
61;1959;619;637;1256
60;1960;612;663;1275
59;1961;622;685;1307
58;1962;661;655;1316
57;1963;678;695;1373
56;1964;642;683;1325
55;1965;622;660;1282
54;1966;648;646;1294
53;1967;644;643;1287
52;1968;689;633;1322
51;1969;608;604;1212
50;1970;580;553;1133
49;1971;569;605;1174
48;1972;509;538;1047
47;1973;437;468;905
46;1974;448;472;920
45;1975;435;435;870
44;1976;402;455;857
43;1977;482;425;907
42;1978;476;458;934
41;1979;483;476;959
40;1980;513;479;992
39;1981;505;463;968
38;1982;444;502;946
37;1983;497;430;927
36;1984;511;461;972
35;1985;546;478;1024
34;1986;546;488;1034
33;1987;555;496;1051
32;1988;550;539;1089
31;1989;511;507;1018
30;1990;566;488;1054
29;1991;558;498;1056
28;1992;527;472;999
27;1993;518;455;973
26;1994;484;473;957
25;1995;504;468;972
24;1996;537;494;1031
23;1997;553;472;1025
22;1998;521;467;988
21;1999;568;428;996
20;2000;506;436;942
19;2001;445;441;886
18;2002;458;433;891
17;2003;471;399;870
16;2004;435;353;788
15;2005;469;410;879
14;2006;432;357;789
13;2007;433;385;818
12;2008;434;377;811
11;2009;415;380;795
10;2010;413;373;786
9;2011;409;402;811
8;2012;408;411;819
7;2013;384;359;743
6;2014;406;410;816
5;2015;421;386;807
4;2016;506;412;918
3;2017;430;410;840
2;2018;414;384;798
1;2019;456;358;814
0;2020;376;331;707
Stadt Minden;;41119;41915;1373
105;;;;
